Winner,Loser,Date,Game
Draw,Draw,2026-04-22,Connect4
Draw,Draw,2026-04-22,Connect4
Majid,Mehraj,2026-04-22,Connect4
Draw,Draw,2026-04-22,Connect4
b,a,2026-04-25,Connect4
1,2,2026-04-29,Connect4
2,1,2026-04-29,Connect4
Majid,Vedansh,2026-04-29,Connect4
Vedansh,Majid,2026-04-29,Othello
2,1,2026-04-29,TicTacToe
Draw,Draw,2026-04-29,Connect4
2,1,2026-04-29,Connect4
2,1,2026-04-29,TicTacToe
Sauransh,Majid,2026-04-29,Connect4
Draw,Draw,2026-04-29,Othello
Sauransh,Majid,2026-04-29,TicTacToe
Draw,Draw,2026-04-29,Connect4
2,1,2026-04-29,Othello
2,1,2026-04-29,Connect4
2,1,2026-04-29,Othello
2,1,2026-04-29,Othello
2,1,2026-04-29,TicTacToe
2,1,2026-04-29,Connect4
2,1,2026-04-29,Connect4
2,1,2026-04-29,Connect4
2,1,2026-04-29,Othello
2,1,2026-04-29,Othello
2,1,2026-04-29,Connect4
1,2,2026-04-29,TicTacToe
Vedansh,Majid,2026-04-29,Connect4
Hello from the pygame community. https://www.pygame.org/contribute.html,Majid,2026-04-29,Othello
Hello from the pygame community. https://www.pygame.org/contribute.html,Majid,2026-04-29,TicTacToe
